,Unnamed: 0,Unnamed: 0.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,7,7,demande,request
7,8,8,genre,kind
8,9,9,mois,month
9,10,10,frère,brother
10,11,11,laisser,let
11,12,12,car,because
12,13,13,mettre,to put
13,14,14,aucun,no
14,15,15,laisse,leash
15,16,16,eux,them
16,17,17,ville,city
17,18,18,chaque,each
18,19,19,arrivé,come
19,20,20,devrait,should
20,21,21,bébé,baby
21,22,22,longtemps,long time
22,23,23,heures,hours
23,24,24,vont,will
24,25,25,pendant,while
25,26,26,revoir,meet again
26,27,27,aucune,any
27,28,28,place,square
28,29,29,parle,speak
29,30,30,compris,understood
30,31,31,savais,knew
31,32,32,étaient,were
32,33,33,attention,Warning
33,34,34,voici,here is
34,35,35,pourrais,could
35,36,36,affaire,case
36,37,37,donner,give
37,38,38,type,type
38,39,39,leurs,their
39,40,40,donné,given
40,41,41,train,train
41,42,42,corps,body
42,43,43,endroit,place
43,44,44,yeux,eyes
44,45,45,façon,way
45,46,46,écoute,listen
46,47,47,dont,whose
47,48,48,trouve,find
48,49,49,premier,first
49,50,50,perdu,lost
50,51,51,main,hand
51,52,52,première,first
52,53,53,côté,side
53,54,54,pouvoir,power
54,55,55,vieux,old
55,56,56,sois,be
56,57,57,tiens,here
57,58,58,matin,morning
58,59,59,tellement,so much
59,60,60,enfant,child
60,61,61,point,point
61,62,62,venu,came
62,63,63,suite,after
63,64,64,pardon,sorry
64,65,65,venez,come
65,66,66,devant,in front of
66,67,67,vers,towards
67,68,68,minutes,minutes
68,69,69,demandé,request
69,70,70,chambre,bedroom
70,71,71,mis,placed
71,72,72,belle,beautiful
72,73,73,droit,law
73,74,74,aimerais,would like to
74,75,75,aujourd'hui,today
75,76,76,mari,husband
76,77,77,cause,cause
77,78,78,enfin,finally
78,79,79,espère,hope
79,80,80,eau,water
80,81,81,attendez,Wait
81,82,82,parti,left
82,83,83,nouvelle,new
83,84,84,boulot,job
84,85,85,arrêter,Stop
85,86,86,dirait,would say
86,87,87,terre,Earth
87,88,88,compte,account
88,89,89,donne,given
89,90,90,loin,far
90,91,91,fin,end
91,92,92,croire,believe
92,93,93,chérie,sweetheart
93,94,94,gros,large
94,95,95,plutôt,rather
95,96,96,aura,will have
96,97,97,filles,girls
97,98,98,jouer,to play
